id,url,zpid,address,city,state,zipcode,asking_price,beds_baths,year_built,name,phone_number,agent_name,created_at,updated_at
1,https://www.zillow.com/homedetails/7546-S-Saginaw-Ave-APT-2-Chicago-IL-60649/2088303942_zpid/,2088303942,,,,,"$1,350",2 Beds 1 Baths,,,(773) 734-3611,L J Promise,2025-11-28 17:30:01.550211+00,2025-11-28 17:33:08.694007+00
2,https://www.zillow.com/homedetails/2332-W-Roosevelt-Rd-Chicago-IL-60608/2105188694_zpid/,2105188694,,,,,"$1,350",2 Beds 1 Baths,,great home real estates,(847) 722-4182,John Zheng,2025-11-28 17:30:01.848105+00,2025-11-28 17:33:08.828559+00
3,https://www.zillow.com/homedetails/4336-N-Dayton-St-404-Chicago-IL-60613/457679677_zpid/,457679677,,,,,"$1,350",1 Beds 1 Baths,,,(773) 203-5604,John Sullivan,2025-11-28 17:30:02.005549+00,2025-11-28 17:33:09.447495+00
4,https://www.zillow.com/homedetails/1940-W-Birchwood-Ave-2B-Chicago-IL-60626/457632092_zpid/,457632092,,,,,"$1,350",1 Beds 1 Baths,,,(708) 773-6885,Thalia Almazan,2025-11-28 17:30:02.214666+00,2025-11-28 17:33:13.12553+00
5,https://www.zillow.com/homedetails/11402-S-Calumet-Ave-Chicago-IL-60628/4154918_zpid/,4154918,,,,,"$1,350",2 Beds 1 Baths,,,(773) 430-2456,Rosalba Melendres,2025-11-28 17:30:02.363349+00,2025-11-28 17:33:11.375197+00
6,https://www.zillow.com/homedetails/1408-W-119th-St-Chicago-IL-60643/2087264463_zpid/,2087264463,,,,,"$1,350",2 Beds 1 Baths,,,(708) 331-6991,Aleta M. Cohen,2025-11-28 17:30:02.510915+00,2025-11-28 17:33:10.54456+00
7,https://www.zillow.com/apartments/chicago-il/422-24-melrose/CgJFsv/,458270696,"422 & 424 W Melrose St,  Chicago,  IL 60657",,,,,,,,(815) 283-5837,Willow Bridge Property Company,2025-11-28 17:30:02.651528+00,2025-11-28 17:33:10.401011+00
8,https://www.zillow.com/homedetails/4148-W-13th-St-APT-2J-Chicago-IL-60623/458190273_zpid/,458190273,,,,,"$1,350",3 Beds 1 Baths,,,(630) 956-4694,kyle Olszewski,2025-11-28 17:30:02.801162+00,2025-11-28 17:33:10.148061+00
9,https://www.zillow.com/homedetails/4542-S-Sawyer-Ave-2-Chicago-IL-60632/458176784_zpid/,458176784,,,,,"$1,350",1 Beds 1 Baths,,,(773) 582-6897,Marcos Gonzalez,2025-11-28 17:30:03.069673+00,2025-11-28 17:33:09.700385+00
10,https://www.zillow.com/homedetails/7932-S-Yates-Blvd-2-Chicago-IL-60617/2055702552_zpid/,2055702552,,,,,"$1,350",2 Beds 1 Baths,,"Apartments of Chicago, Inc",(773) 274-9300,"Apartments of Chicago, Inc",2025-11-28 17:30:03.687557+00,2025-11-28 17:33:11.529648+00
11,https://www.zillow.com/homedetails/1634-W-Howard-St-APT-309-Chicago-IL-60626/454656838_zpid/,454656838,,,,,"$1,325",1 Baths,1930,Becovic Management Group,(773) 271-6143,Shkelzen Muja,2025-11-28 17:30:04.117825+00,2025-12-03 14:07:10.49572+00
12,https://www.zillow.com/homedetails/13528-S-Burley-Ave-A-Chicago-IL-60633/2053533832_zpid/,2053533832,,,,,"$1,350",2 Beds 1 Baths,,,(219) 767-9341,Fase Property Management,2025-11-28 17:30:04.395997+00,2025-11-28 17:33:13.277289+00
13,https://www.zillow.com/b/5447-w-ohio-st-chicago-il-5XdKKK/,443281218,"Chicago,  IL 60644",,,,,,,,(732) 595-2538,Shadan Mohammed,2025-11-28 17:30:04.578941+00,2025-11-28 17:33:12.411585+00
14,https://www.zillow.com/b/2433-s-saint-louis-ave-chicago-il-9S2BdF/,458487850,"Chicago,  IL 60623",,,,,,,,,Pratik Sampat,2025-11-28 17:30:04.734374+00,2025-11-28 17:33:30.26491+00
15,https://www.zillow.com/homedetails/11252-S-Langley-Ave-52-1-Chicago-IL-60628/457991782_zpid/,457991782,,,,,"$1,350",1 Beds 1 Baths,,,(773) 684-4631,Simona,2025-11-28 17:30:04.922453+00,2025-11-28 17:33:12.862404+00
16,https://www.zillow.com/homedetails/4258-W-Hirsch-St-2-Chicago-IL-60651/456901524_zpid/,456901524,,,,,"$1,395",2 Beds 1 Baths,,,(708) 773-6885,Thalia Almazan,2025-11-28 17:30:05.472179+00,2025-11-28 17:38:26.119729+00
17,https://www.zillow.com/homedetails/1435-W-78th-St-1-Chicago-IL-60620/2060786537_zpid/,2060786537,,,,,"$1,345",2 Beds 1 Baths,,Perry Management,(773) 955-5107,Amanda,2025-11-28 17:30:05.757237+00,2025-11-28 17:33:14.102839+00
18,https://www.zillow.com/apartments/chicago-il/2659-w-22nd-pl-chicago-il/9RxJPQ/,453442273,"2659 W 22nd Pl,  Chicago,  IL 60608",,,,,,,Green Street Property Management,(847) 649-6633,Green Street Property Management,2025-11-28 17:30:05.911733+00,2025-11-28 17:38:26.503394+00
19,https://www.zillow.com/homedetails/4536-S-Albany-Ave-1-Chicago-IL-60632/443212859_zpid/,443212859,,,,,"$1,380",2 Beds 1 Baths,,,,WEI L,2025-11-28 17:30:07.956641+00,2025-11-28 17:38:27.015109+00
20,https://www.zillow.com/homedetails/1162-N-Harding-Ave-2-Chicago-IL-60651/2079079733_zpid/,2079079733,,,,,"$1,375",2 Beds 1 Baths,,,(773) 562-8903,Sara,2025-11-28 17:30:08.242843+00,2025-11-28 17:33:08.132824+00
21,https://www.zillow.com/homedetails/634-W-111th-St-2-Chicago-IL-60628/446452536_zpid/,446452536,,,,,"$1,375",2 Beds 1 Baths,,,(773) 941-2949,Jamal Wolfe,2025-11-28 17:30:08.497638+00,2025-11-28 17:33:07.089712+00
22,https://www.zillow.com/homedetails/413-E-113th-St-APT-2-Chicago-IL-60628/2082732557_zpid/,2082732557,,,,,"$1,375",1 Beds 1 Baths,,"Blue Door Dave ",(872) 267-9223,Paul Pierce,2025-11-28 17:30:08.662885+00,2025-11-28 17:33:06.570411+00
23,https://www.zillow.com/homedetails/3906-N-Linder-Ave-Chicago-IL-60641/2066881614_zpid/,2066881614,,,,,"$1,375",1 Beds 1 Baths,,,(773) 347-9735,Anna,2025-11-28 17:30:08.847176+00,2025-11-28 17:33:06.337389+00
24,https://www.zillow.com/homedetails/219-W-72nd-St-FLOOR-2-Chicago-IL-60621/2079961883_zpid/,2079961883,,,,,"$1,325",3 Beds 1 Baths,,Perry Management,(773) 955-5107,Amanda,2025-11-28 17:30:09.013786+00,2025-11-28 17:33:13.928889+00
25,https://www.zillow.com/homedetails/6101-S-Major-Ave-Chicago-IL-60638/3943640_zpid/,3943640,,,,,"$3,400",4 Beds 2 Baths,,Primera Property Management LLC,(773) 886-8396,,2025-11-28 17:30:09.270285+00,2025-11-28 17:33:14.572465+00
26,https://www.zillow.com/homedetails/11-N-Pine-Ave-APT-2E-Chicago-IL-60644/2116932277_zpid/,2116932277,,,,,"$1,100",2 Beds 1 Baths,,,(708) 773-6885,Thalia Almazan,2025-11-28 17:30:09.424099+00,2025-11-28 17:33:13.524761+00
27,https://www.zillow.com/apartments/chicago-il/bridgeport/5Xf4rh/,457066189,"929 W 35th Pl,  Chicago,  IL 60609",,,,,,,Mark B. Weiss Real Estate,(312) 617-3630,,2025-11-28 17:30:09.578719+00,2025-11-28 17:38:27.48718+00
28,https://www.zillow.com/apartments/chicago-il/lakeview-property/5XdpZn/,450890218,"540 W Roscoe St,  Chicago,  IL 60657",,,,,,,,(872) 327-5986,Leasing Agent,2025-11-28 17:30:09.721337+00,2025-11-28 17:38:26.363199+00
29,https://www.zillow.com/apartments/chicago-il/1830-w-17th/5XgdWp/,2079120424,"1830 W 17th St,  Chicago,  IL 60608",,,,,,,NKH Holdings,(773) 575-5306,Nathan421,2025-11-28 17:30:10.021458+00,2025-11-28 17:38:28.228369+00
30,https://www.zillow.com/homedetails/1826-N-Milwaukee-Ave-APT-2FN-Chicago-IL-60647/2108938663_zpid/,2108938663,,,,,"$3,395",3 Beds 2 Baths,,Jameson Sotheby's International Realty,(515) 526-5795,Chris Gomes,2025-11-28 17:30:10.170326+00,2025-11-28 17:37:58.672813+00
31,https://www.zillow.com/homedetails/474-N-Lake-Shore-Dr-APT-4102-Chicago-IL-60611/80809911_zpid/,80809911,,,,,"$3,395",2 Beds 2 Baths,,HomeRiver Group / Home Encounter,(331) 291-4757,,2025-11-28 17:30:10.306271+00,2025-11-28 17:37:59.082703+00
32,https://www.zillow.com/homedetails/1899-W-Wilson-Ave-3-Chicago-IL-60640/458491179_zpid/,458491179,,,,,"$1,375",1 Baths,,MITOWNE REAL ESTATE INC,(872) 350-1745,"Michele, Managing Broker",2025-11-28 17:30:10.502337+00,2025-11-28 17:33:14.281563+00
33,https://www.zillow.com/homedetails/2413-E-78th-St-APT-2-Chicago-IL-60649/457290303_zpid/,457290303,,,,,"$1,375",2 Beds 1 Baths,,,(312) 561-3267,Angela Greco,2025-11-28 17:30:10.663723+00,2025-11-28 17:33:07.368164+00
34,https://www.zillow.com/apartments/chicago-il/6100-s-green-st-841-w-61st-st-n/CjfK34/,446718077,"6100 S Green St,  Chicago,  IL 60621",,,,,,,Marblestone Property Group,(331) 244-5204,6100 S Green St/841 W 61st St - N,2025-11-28 17:30:10.841368+00,2025-11-28 17:33:14.723712+00
